24.5236 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
25.9348 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x10f96f550>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1920, 1080), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
25.9349 	EXP 	window1: recordFrameIntervals = False
26.1045 	EXP 	window1: recordFrameIntervals = True
26.6045 	WARNING 	t of last frame was 19.99ms (=1/50)
26.8216 	WARNING 	t of last frame was 20.26ms (=1/49)
27.6210 	EXP 	window1: recordFrameIntervals = False
27.8863 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
28.0814 	EXP 	Created image_15 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Alien21.png', interpolate=True, mask=None, maskParams=None, name='image_15', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
28.2378 	EXP 	Set  sound=reminder_du.wav
28.2379 	EXP 	Set Sound  volume=1.000
28.2464 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
28.2924 	EXP 	Set  sound=A
28.2925 	EXP 	Set Sound  volume=1.000
28.3241 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien21.png', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
28.3583 	EXP 	Set  sound=A
28.3584 	EXP 	Set Sound  volume=1.000
28.3870 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='Alien24.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25      ,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
28.3929 	EXP 	window1: blendMode = 'avg'
28.4116 	EXP 	text_11: autoDraw = True
28.4116 	EXP 	image_15: autoDraw = True
28.4144 	EXP 	window1: blendMode = 'avg'
28.4270 	EXP 	window1: blendMode = 'avg'
28.4402 	EXP 	window1: blendMode = 'avg'
28.4492 	EXP 	window1: blendMode = 'avg'
28.4598 	EXP 	window1: blendMode = 'avg'
28.4710 	EXP 	window1: blendMode = 'avg'
28.4821 	EXP 	window1: blendMode = 'avg'
28.4929 	EXP 	window1: blendMode = 'avg'
28.5046 	EXP 	window1: blendMode = 'avg'
28.5153 	EXP 	window1: blendMode = 'avg'
28.5265 	EXP 	window1: blendMode = 'avg'
28.5383 	EXP 	window1: blendMode = 'avg'
28.5487 	EXP 	window1: blendMode = 'avg'
28.5628 	EXP 	window1: blendMode = 'avg'
28.5782 	EXP 	window1: blendMode = 'avg'
28.5905 	EXP 	window1: blendMode = 'avg'
28.6067 	EXP 	window1: blendMode = 'avg'
28.6220 	EXP 	window1: blendMode = 'avg'
28.6386 	EXP 	window1: blendMode = 'avg'
28.6545 	EXP 	window1: blendMode = 'avg'
28.6708 	EXP 	window1: blendMode = 'avg'
28.6871 	EXP 	window1: blendMode = 'avg'
28.7060 	EXP 	window1: blendMode = 'avg'
28.7216 	EXP 	window1: blendMode = 'avg'
28.7369 	EXP 	window1: blendMode = 'avg'
28.7539 	EXP 	window1: blendMode = 'avg'
28.7732 	EXP 	window1: blendMode = 'avg'
28.7881 	EXP 	window1: blendMode = 'avg'
28.8045 	EXP 	window1: blendMode = 'avg'
28.8208 	EXP 	window1: blendMode = 'avg'
28.8396 	EXP 	window1: blendMode = 'avg'
28.8553 	EXP 	window1: blendMode = 'avg'
28.8708 	EXP 	window1: blendMode = 'avg'
28.8872 	EXP 	window1: blendMode = 'avg'
28.9067 	EXP 	window1: blendMode = 'avg'
28.9230 	EXP 	window1: blendMode = 'avg'
28.9404 	EXP 	window1: blendMode = 'avg'
28.9557 	EXP 	window1: blendMode = 'avg'
28.9704 	EXP 	window1: blendMode = 'avg'
28.9875 	EXP 	window1: blendMode = 'avg'
29.0062 	EXP 	window1: blendMode = 'avg'
29.0232 	EXP 	window1: blendMode = 'avg'
29.0377 	EXP 	window1: blendMode = 'avg'
29.0563 	EXP 	window1: blendMode = 'avg'
29.0716 	EXP 	window1: blendMode = 'avg'
29.0879 	EXP 	window1: blendMode = 'avg'
29.1040 	EXP 	window1: blendMode = 'avg'
29.1229 	EXP 	window1: blendMode = 'avg'
29.1385 	EXP 	window1: blendMode = 'avg'
29.1541 	EXP 	window1: blendMode = 'avg'
29.1707 	EXP 	window1: blendMode = 'avg'
29.1903 	EXP 	window1: blendMode = 'avg'
29.2056 	EXP 	window1: blendMode = 'avg'
29.2207 	EXP 	window1: blendMode = 'avg'
29.2376 	EXP 	window1: blendMode = 'avg'
29.2561 	EXP 	window1: blendMode = 'avg'
29.2716 	EXP 	window1: blendMode = 'avg'
29.2874 	EXP 	window1: blendMode = 'avg'
29.3043 	EXP 	window1: blendMode = 'avg'
29.3239 	EXP 	window1: blendMode = 'avg'
29.3393 	EXP 	window1: blendMode = 'avg'
29.3546 	EXP 	window1: blendMode = 'avg'
29.3710 	EXP 	window1: blendMode = 'avg'
