24.5228 	WARNING 	User requested fullscreen with size [1366  768], but screen is actually [1920, 1080]. Using actual size
25.3709 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='grey', colorSpace='named', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x10f3ab590>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=(1920, 1080), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
25.3710 	EXP 	window1: recordFrameIntervals = False
25.5369 	EXP 	window1: recordFrameIntervals = True
25.7207 	EXP 	window1: recordFrameIntervals = False
25.9836 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.3,  0. ]), rgb=array([ 0.,  0.,  0.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
26.1391 	EXP 	Created image_15 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='Alien21.png', interpolate=True, mask=None, maskParams=None, name='image_15', opacity=1.0, ori=0.0, pos=array([ 0.5,  0. ]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
26.2898 	EXP 	Set  sound=reminder_pu.wav
26.2899 	EXP 	Set Sound  volume=1.000
26.3002 	EXP 	Created TA_first = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='TA_first', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
26.3488 	EXP 	Set  sound=A
26.3489 	EXP 	Set Sound  volume=1.000
26.3817 	EXP 	Created fam_trials_image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image=u'Alien21.png', interpolate=True, mask=None, maskParams=None, name='fam_trials_image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25416667,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
26.4169 	EXP 	Set  sound=A
26.4169 	EXP 	Set Sound  volume=1.000
26.4530 	EXP 	Created alien = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='Alien24.png', interpolate=True, mask=None, maskParams=None, name='alien', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.25      ,  0.54444444]), texRes=128, units=u'norm', win=Window(...))
26.4716 	EXP 	Created treminder_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='treminder_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=u'Now press the button when you hear this!', units=u'norm', win=Window(...), wrapWidth=1)
26.5343 	EXP 	Set  sound=reminder_1C.wav
26.5343 	EXP 	Set Sound  volume=1.000
26.5416 	EXP 	window1: blendMode = 'avg'
26.5594 	EXP 	text_11: autoDraw = True
26.5594 	EXP 	image_15: autoDraw = True
26.5631 	EXP 	window1: blendMode = 'avg'
26.5724 	EXP 	window1: blendMode = 'avg'
26.5855 	EXP 	window1: blendMode = 'avg'
26.5942 	EXP 	window1: blendMode = 'avg'
26.6057 	EXP 	window1: blendMode = 'avg'
26.6189 	EXP 	window1: blendMode = 'avg'
26.6276 	EXP 	window1: blendMode = 'avg'
26.6394 	EXP 	window1: blendMode = 'avg'
26.6497 	EXP 	window1: blendMode = 'avg'
26.6611 	EXP 	window1: blendMode = 'avg'
26.6748 	EXP 	window1: blendMode = 'avg'
26.6833 	EXP 	window1: blendMode = 'avg'
26.6951 	EXP 	window1: blendMode = 'avg'
26.7083 	EXP 	window1: blendMode = 'avg'
26.7227 	EXP 	window1: blendMode = 'avg'
26.7417 	EXP 	window1: blendMode = 'avg'
26.7574 	EXP 	window1: blendMode = 'avg'
26.7733 	EXP 	window1: blendMode = 'avg'
26.7890 	EXP 	window1: blendMode = 'avg'
26.8062 	EXP 	window1: blendMode = 'avg'
26.8248 	EXP 	window1: blendMode = 'avg'
26.8408 	EXP 	window1: blendMode = 'avg'
26.8558 	EXP 	window1: blendMode = 'avg'
26.8726 	EXP 	window1: blendMode = 'avg'
26.8916 	EXP 	window1: blendMode = 'avg'
26.9074 	EXP 	window1: blendMode = 'avg'
26.9227 	EXP 	window1: blendMode = 'avg'
26.9394 	EXP 	window1: blendMode = 'avg'
26.9581 	EXP 	window1: blendMode = 'avg'
26.9742 	EXP 	window1: blendMode = 'avg'
26.9896 	EXP 	window1: blendMode = 'avg'
27.0060 	EXP 	window1: blendMode = 'avg'
27.0247 	EXP 	window1: blendMode = 'avg'
27.0405 	EXP 	window1: blendMode = 'avg'
27.0564 	EXP 	window1: blendMode = 'avg'
27.0727 	EXP 	window1: blendMode = 'avg'
27.0924 	EXP 	window1: blendMode = 'avg'
27.1074 	EXP 	window1: blendMode = 'avg'
27.1245 	EXP 	window1: blendMode = 'avg'
27.1394 	EXP 	window1: blendMode = 'avg'
27.1594 	EXP 	window1: blendMode = 'avg'
27.1739 	EXP 	window1: blendMode = 'avg'
27.1907 	EXP 	window1: blendMode = 'avg'
27.2061 	EXP 	window1: blendMode = 'avg'
27.2228 	EXP 	window1: blendMode = 'avg'
27.2424 	EXP 	window1: blendMode = 'avg'
27.2578 	EXP 	window1: blendMode = 'avg'
27.2729 	EXP 	window1: blendMode = 'avg'
27.2889 	EXP 	window1: blendMode = 'avg'
27.3093 	EXP 	window1: blendMode = 'avg'
27.3240 	EXP 	window1: blendMode = 'avg'
27.3396 	EXP 	window1: blendMode = 'avg'
27.3559 	EXP 	window1: blendMode = 'avg'
27.3756 	EXP 	window1: blendMode = 'avg'
27.3912 	EXP 	window1: blendMode = 'avg'
27.4067 	EXP 	window1: blendMode = 'avg'
27.4226 	EXP 	window1: blendMode = 'avg'
27.4396 	EXP 	window1: blendMode = 'avg'
27.4585 	EXP 	window1: blendMode = 'avg'
27.4740 	EXP 	window1: blendMode = 'avg'
27.4896 	EXP 	window1: blendMode = 'avg'
27.5057 	EXP 	window1: blendMode = 'avg'
27.5230 	EXP 	window1: blendMode = 'avg'
27.5416 	EXP 	window1: blendMode = 'avg'
27.5575 	EXP 	window1: blendMode = 'avg'
27.5733 	EXP 	window1: blendMode = 'avg'
27.5896 	EXP 	window1: blendMode = 'avg'
27.6084 	EXP 	window1: blendMode = 'avg'
27.6243 	EXP 	window1: blendMode = 'avg'
27.6399 	EXP 	window1: blendMode = 'avg'
27.6563 	EXP 	window1: blendMode = 'avg'
27.6757 	EXP 	window1: blendMode = 'avg'
27.6904 	EXP 	window1: blendMode = 'avg'
27.7062 	EXP 	window1: blendMode = 'avg'
27.7234 	EXP 	window1: blendMode = 'avg'
27.7421 	EXP 	window1: blendMode = 'avg'
27.7574 	EXP 	window1: blendMode = 'avg'
27.7732 	EXP 	window1: blendMode = 'avg'
27.7898 	EXP 	window1: blendMode = 'avg'
27.8086 	EXP 	window1: blendMode = 'avg'
27.8246 	EXP 	window1: blendMode = 'avg'
27.8397 	EXP 	window1: blendMode = 'avg'
27.8559 	EXP 	window1: blendMode = 'avg'
27.8757 	EXP 	window1: blendMode = 'avg'
27.8915 	EXP 	window1: blendMode = 'avg'
27.9065 	EXP 	window1: blendMode = 'avg'
27.9231 	EXP 	window1: blendMode = 'avg'
27.9430 	EXP 	window1: blendMode = 'avg'
27.9580 	EXP 	window1: blendMode = 'avg'
27.9731 	EXP 	window1: blendMode = 'avg'
27.9896 	EXP 	window1: blendMode = 'avg'
28.0093 	EXP 	window1: blendMode = 'avg'
28.0244 	EXP 	window1: blendMode = 'avg'
28.0406 	EXP 	window1: blendMode = 'avg'
